datetime,precipitacao
2024-07-25,0.0
2024-07-26,0.0
2024-07-27,0.0
2024-07-28,0.0
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,0.0
2024-08-02,0.0
2024-08-03,0.0
2024-08-04,0.0
2024-08-05,0.0
2024-08-06,0.0
2024-08-07,0.0
2024-08-08,0.0
2024-08-09,0.0
2024-08-10,0.0
2024-08-11,6.0
2024-08-12,0.0
2024-08-13,9.6
2024-08-14,1.4
2024-08-15,0.0
2024-08-16,0.0
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,0.0
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,0.0
2024-08-23,0.0
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,0.0
2024-08-27,0.0
2024-08-28,0.0
2024-08-29,0.0
2024-08-30,0.0
2024-08-31,0.0
2024-09-01,0.0
2024-09-02,0.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,1.6
2024-09-07,0.0
2024-09-08,0.0
2024-09-09,0.0
2024-09-10,0.0
2024-09-11,0.0
2024-09-12,0.0
2024-09-13,0.0
2024-09-14,0.0
2024-09-15,0.0
2024-09-16,0.0
2024-09-17,0.0
2024-09-18,0.0
2024-09-19,0.0
2024-09-20,0.0
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,0.0
2024-09-24,20.200000000000003
2024-09-25,0.0
2024-09-26,0.0
2024-09-27,0.0
2024-09-28,38.2
2024-09-29,2.0
2024-09-30,0.2
2024-10-01,0.0
2024-10-02,0.0
2024-10-03,0.0
2024-10-04,0.0
2024-10-05,0.0
2024-10-06,14.799999999999999
2024-10-07,1.0
2024-10-08,0.0
2024-10-09,0.0
2024-10-10,0.0
2024-10-11,0.0
2024-10-12,0.0
2024-10-13,13.4
2024-10-14,0.0
2024-10-15,0.0
2024-10-16,0.4
2024-10-17,0.0
2024-10-18,0.0
2024-10-19,0.0
2024-10-20,0.2
2024-10-21,0.0
2024-10-22,30.0
2024-10-23,0.0
2024-10-24,0.0
2024-10-25,0.0
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,11.6
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,8.8
2024-11-01,0.2
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,4.6
2024-11-05,0.0
2024-11-06,56.60000000000001
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.4
2024-11-11,0.0
2024-11-12,0.0
2024-11-13,7.4
2024-11-14,0.0
2024-11-15,9.4
2024-11-16,0.8
2024-11-17,0.0
2024-11-18,0.0
2024-11-19,0.4
2024-11-20,0.0
2024-11-21,5.4
2024-11-22,0.0
2024-11-23,0.2
2024-11-24,7.8
2024-11-25,18.8
2024-11-26,1.0
2024-11-27,0.0
2024-11-28,0.0
2024-11-29,0.0
2024-11-30,0.0
2024-12-01,13.4
2024-12-02,0.0
